Node_ID,In_Degree,Out_Degree,Total_Degree
298,235,17,252
350,230,22,252
4910,20,231,251
9825,54,197,251
313,236,15,251
6584,52,198,250
1483,77,172,249
505,228,21,249
11726,49,200,249
1940,57,192,249
3764,206,42,248
440,36,212,248
24779,42,206,248
864,182,66,248
1275,184,64,248
774,6,242,248
11269,44,203,247
654,191,56,247
2112,2,244,246
519,232,12,244
59006,57,187,244
3903,70,173,243
2957,148,95,243
13746,64,179,243
2174,205,37,242
4692,207,35,242
400,60,181,241
2755,2,239,241
1265,197,44,241
559,163,76,239
3012,182,57,239
3402,229,9,238
708,9,229,238
2690,35,203,238
2340,29,209,238
703,50,187,237
1959,51,186,237
13791,202,35,237
2682,159,77,236
13581,8,228,236
855,175,61,236
16503,19,217,236
5695,50,185,235
13204,68,166,234
12935,60,173,233
1103,67,166,233
1970,182,51,233
996,178,54,232
14840,65,167,232
776,157,75,232
2566,82,149,231
10492,44,187,231
884,201,29,230
1480,11,219,230
3044,151,79,230
25516,174,54,228
48856,182,46,228
1827,52,176,228
4147,142,85,227
948,77,150,227
4813,183,43,226
2644,61,165,226
1604,158,67,225
2417,178,47,225
288,52,173,225
1305,59,166,225
1459,39,185,224
3898,76,147,223
12895,14,209,223
1684,48,175,223
1184,19,204,223
557,191,32,223
3740,66,156,222
6437,14,208,222
6333,66,155,221
1292,36,185,221
9693,37,184,221
1442,79,141,220
1189,179,41,220
58486,173,47,220
6034,43,176,219
3184,37,181,218
3186,22,196,218
6795,40,178,218
526,39,179,218
354,191,27,218
1663,148,69,217
2357,49,167,216
12197,6,210,216
21394,0,216,216
3534,32,183,215
5575,56,159,215
1318,10,205,215
79,49,166,215
110,33,182,215
3017,55,159,214
2559,169,45,214
19017,23,191,214
3157,36,178,214
1278,202,12,214
8943,198,15,213
3040,177,35,212
2449,153,59,212
16356,17,195,212
58275,167,45,212
4937,47,165,212
432,103,108,211
738,94,117,211
19759,76,135,211
2663,200,11,211
4634,150,60,210
3681,25,184,209
13460,7,202,209
789,166,43,209
1612,88,120,208
1093,74,134,208
6205,52,156,208
782,167,40,207
1646,184,23,207
839,49,157,206
1697,159,47,206
2288,101,105,206
11867,14,192,206
3679,176,29,205
5647,13,191,204
10952,48,155,203
14308,84,119,203
4622,143,59,202
7352,169,33,202
3761,186,15,201
1594,41,160,201
5053,154,47,201
1642,47,153,200
4259,196,4,200
17432,31,169,200
10373,28,172,200
6476,23,176,199
2797,27,172,199
11571,23,175,198
1703,48,150,198
637,23,175,198
1616,9,189,198
33909,182,16,198
3331,2,196,198
1313,87,110,197
23638,26,171,197
13224,88,109,197
2732,174,23,197
3588,141,56,197
20795,11,185,196
2205,180,16,196
7355,25,171,196
2525,29,167,196
13110,37,159,196
939,158,37,195
4836,8,187,195
6709,59,135,194
3729,70,124,194
30003,21,173,194
6112,35,158,193
5116,10,183,193
1035,120,73,193
20733,181,12,193
1174,7,185,192
58533,8,184,192
3946,155,37,192
2004,151,41,192
957,60,132,192
4500,159,32,191
1340,6,184,190
2812,144,46,190
5095,19,169,188
15548,11,176,187
2307,32,155,187
6533,8,179,187
7725,38,148,186
2642,46,140,186
2283,83,103,186
2063,49,137,186
397,150,35,185
886,156,29,185
3734,135,50,185
13821,20,165,185
8073,165,20,185
12455,22,163,185
3362,43,141,184
3702,182,1,183
2652,30,153,183
16121,150,33,183
553,87,96,183
799,103,79,182
493,160,22,182
1331,165,17,182
300,13,169,182
1054,143,38,181
601,39,142,181
2027,58,122,180
7597,46,134,180
1485,12,168,180
6491,37,142,179
3273,142,37,179
5538,10,169,179
324,16,163,179
1247,137,41,178
646,55,123,178
1876,96,82,178
447,144,34,178
10280,29,149,178
13895,48,130,178
4148,41,136,177
22722,13,164,177
3636,16,160,176
7874,52,123,175
1849,22,153,175
6521,33,142,175
650,37,138,175
1683,135,39,174
17973,46,128,174
2944,43,131,174
536,20,154,174
802,18,156,174
2893,53,121,174
3737,141,32,173
1215,55,118,173
8266,35,138,173
1624,143,29,172
58422,42,130,172
1801,20,152,172
986,139,33,172
3762,38,134,172
6875,42,129,171
1393,56,115,171
5464,10,161,171
709,125,45,170
7004,35,135,170
17453,73,97,170
941,0,169,169
3256,18,151,169
4223,146,23,169
2969,134,35,169
26955,31,138,169
3228,156,13,169
2134,128,40,168
6737,137,31,168
4745,48,120,168
604,96,72,168
73910,113,55,168
5296,142,26,168
3372,12,155,167
15005,41,126,167
9771,14,153,167
5204,161,6,167
4163,54,112,166
6708,8,158,166
8474,18,148,166
1254,48,118,166
3587,125,41,166
9671,37,128,165
3722,134,31,165
48799,36,129,165
48778,134,31,165
12901,37,128,165
2060,6,159,165
3324,120,45,165
2697,138,26,164
10513,127,37,164
6483,13,151,164
13279,33,131,164
1473,126,37,163
13474,41,122,163
2435,12,151,163
7919,46,117,163
5553,14,149,163
2080,21,142,163
4761,122,41,163
1353,22,140,162
1565,32,130,162
9261,38,123,161
626,53,108,161
6520,15,146,161
3596,3,158,161
1487,12,149,161
3427,122,38,160
11885,31,129,160
6450,157,3,160
476,137,23,160
21372,136,24,160
2775,130,29,159
1711,0,159,159
8542,5,154,159
711,39,120,159
4934,9,150,159
297,17,142,159
797,19,139,158
4066,116,42,158
1079,65,93,158
12789,129,29,158
4201,116,42,158
827,98,60,158
5169,130,27,157
1354,117,40,157
58281,150,7,157
6226,152,4,156
1756,21,135,156
49024,121,35,156
714,40,116,156
4852,117,39,156
3241,45,110,155
2281,51,104,155
3114,39,116,155
1447,31,124,155
702,111,44,155
1364,109,46,155
946,133,22,155
3968,50,104,154
574,41,113,154
2563,119,35,154
1832,40,114,154
514,36,118,154
2789,27,126,153
1491,29,124,153
2888,148,5,153
3817,148,5,153
899,113,39,152
3680,127,25,152
4451,145,7,152
733,55,97,152
13429,58,94,152
5161,44,107,151
13015,14,137,151
3052,113,38,151
5763,18,133,151
4186,37,113,150
4593,119,31,150
17294,19,131,150
10121,49,100,149
10145,122,27,149
8071,34,115,149
7117,25,124,149
1413,30,119,149
663,32,117,149
8524,34,115,149
1194,91,58,149
2610,32,117,149
12786,13,135,148
3718,27,121,148
6255,140,8,148
9200,19,128,147
2618,36,111,147
18596,26,121,147
10176,98,49,147
3153,123,24,147
2280,13,134,147
48864,21,125,146
1148,28,118,146
8810,100,46,146
25548,25,121,146
818,31,114,145
2406,138,7,145
3376,50,95,145
8286,43,102,145
2823,75,70,145
6246,103,42,145
4679,26,119,145
3990,13,131,144
4042,33,111,144
7531,11,133,144
6342,50,94,144
1717,101,43,144
7134,26,117,143
74011,34,109,143
1200,128,15,143
6576,111,32,143
1394,114,29,143
1619,114,29,143
1896,105,38,143
1788,113,30,143
682,34,109,143
3665,98,44,142
14230,117,25,142
8517,98,44,142
1759,23,119,142
1727,34,108,142
17351,56,86,142
7516,133,8,141
2133,37,104,141
5906,55,86,141
2240,35,106,141
10905,13,128,141
9379,116,24,140
3997,40,100,140
5958,7,133,140
1326,112,28,140
4316,113,26,139
1800,29,110,139
4730,107,32,139
1915,35,104,139
2182,38,101,139
3113,33,105,138
5031,112,26,138
1418,34,104,138
3511,18,120,138
525,35,103,138
513,27,111,138
12456,106,32,138
25611,4,134,138
8644,109,29,138
4793,27,111,138
967,115,22,137
5134,28,109,137
2277,120,17,137
8577,33,104,137
1794,107,30,137
3789,23,114,137
10791,102,35,137
1670,28,109,137
4087,51,86,137
4068,113,23,136
4531,111,25,136
2260,1,135,136
16032,1,135,136
16931,119,17,136
17997,18,118,136
3554,2,133,135
4572,23,112,135
3304,110,25,135
1655,31,104,135
12904,26,109,135
5209,19,116,135
454,118,17,135
858,70,64,134
5068,108,26,134
1321,105,29,134
7066,39,95,134
680,32,102,134
1190,80,54,134
2581,104,30,134
1706,15,119,134
5408,93,40,133
645,110,23,133
653,29,104,133
17064,14,119,133
2015,96,36,132
14662,26,106,132
9879,82,50,132
1698,26,106,132
1176,39,93,132
5227,112,19,131
38398,112,19,131
58327,33,98,131
5189,29,102,131
5330,37,94,131
48861,13,118,131
1625,107,24,131
7350,24,107,131
14410,26,105,131
2062,25,106,131
5041,80,50,130
746,12,118,130
11883,32,98,130
10534,107,23,130
868,39,91,130
3519,25,105,130
11688,27,103,130
5063,8,121,129
2865,102,27,129
1363,96,32,128
11665,32,96,128
6604,57,71,128
679,74,54,128
10963,44,84,128
7139,79,49,128
49223,21,107,128
10851,89,39,128
5610,111,17,128
3483,123,5,128
8097,85,42,127
1618,33,94,127
15187,7,120,127
8672,102,25,127
4695,19,108,127
5919,37,90,127
1044,18,109,127
511,86,41,127
3742,28,99,127
9006,89,38,127
402,63,64,127
4115,104,22,126
1385,95,31,126
2243,22,104,126
2453,34,91,125
6324,22,103,125
343,88,37,125
4365,26,99,125
2657,9,116,125
5648,22,102,124
2230,11,113,124
6111,86,38,124
10563,22,102,124
39791,89,35,124
48783,5,119,124
3279,37,87,124
1656,34,90,124
1115,42,82,124
58674,49,74,123
896,55,68,123
1730,10,113,123
7226,101,22,123
2595,40,83,123
11267,37,86,123
24160,21,102,123
7219,26,97,123
6060,33,89,122
11174,31,91,122
58292,32,90,122
